index	is_pain	pain_type
124	else	None
125	pain_point	user experience issues
126	pain_point	user experience issues
127	pain_point	technical glitches
128	pain_point	transaction delays
129	pain_point	limited functionality
130	else	None
131	pain_point	user experience issues
132	pain_point	customer support issues
133	pain_point	limited functionality
134	pain_point	transaction delays, cost of services
135	pain_point	cost of services
136	pain_point	limited functionality
137	pain_point	user experience issues
138	pain_point	user experience issues
139	pain_point	customer support issues
140	pain_point	customer support issues
141	pain_point	transaction delays
142	else	None
143	pain_point	customer support issues
144	pain_point	cost of services
145	pain_point	transaction delays
146	else	None
147	pain_point	customer support issues
148	pain_point	transaction delays
149	pain_point	transaction delays
150	else	None
151	else	None
152	pain_point	customer support issues
153	pain_point	user experience issues
154	pain_point	security concerns
155	pain_point	data privacy concerns
156	pain_point	customer support issues
157	else	None
158	else	None
159	pain_point	transaction delays
160	pain_point	user experience issues
161	else	None
162	pain_point	transaction delays
163	pain_point	regulatory compliance
164	pain_point	transaction delays, customer support issues
165	pain_point	limited functionality
166	pain_point	['security concerns', 'transaction delays', 'customer support issues']
167	else	None
168	else	None
169	pain_point	user experience issues
170	pain_point	transaction delays
171	pain_point	transaction delays
172	pain_point	user experience issues
173	pain_point	user experience issues
174	pain_point	limited functionality
175	else	None
176	pain_point	user experience issues
177	pain_point	transaction delays
178	pain_point	user experience issues
179	else	None
180	pain_point	user experience issues
181	pain_point	user experience issues
182	pain_point	transaction delays
183	pain_point	transaction delays
184	pain_point	cost of services
185	pain_point	user experience issues
186	pain_point	transaction delays
187	else	None
188	pain_point	cost of services
189	pain_point	cost of services
190	pain_point	data privacy concerns
191	pain_point	data privacy concerns
192	pain_point	transaction delays, customer support issues
193	pain_point	user experience issues
194	pain_point	user experience issues
195	pain_point	user experience issues
196	pain_point	transaction delays, cost of services
197	pain_point	transaction delays and cashback problems
198	pain_point	user experience issues
199	pain_point	user experience issues
0	pain_point	regulatory compliance
1	pain_point	cost of services
2	pain_point	user experience issues
3	pain_point	cashback problems
4	else	None
5	pain_point	user experience issues
6	else	None
7	else	None
8	pain_point	user experience issues
9	pain_point	transaction delays
10	pain_point	transaction delays
11	pain_point	technical glitches
12	pain_point	transaction delays
13	else	None
14	pain_point	technical glitches, user experience issues
15	pain_point	transaction delays
16	pain_point	technical glitches
17	pain_point	cashback problems
18	else	None
19	else	None
20	pain_point	user experience issues
21	pain_point	transaction delays
22	pain_point	user experience issues
23	pain_point	cashback problems
24	pain_point	user experience issues
25	pain_point	transaction delays
26	else	None
27	pain_point	user experience issues
28	pain_point	customer support issues
29	pain_point	user experience issues
30	pain_point	transaction delays
31	pain_point	transaction delays
32	else	None
33	pain_point	user experience issues
34	else	None
35	else	None
36	pain_point	user experience issues
37	pain_point	user experience issues
38	else	None
39	pain_point	user experience issues
40	pain_point	transaction delays
41	pain_point	user experience issues
42	pain_point	transaction delays and cost of services
43	pain_point	technical glitches
44	else	None
45	pain_point	transaction delays
46	pain_point	cashback problems
47	else	None
48	pain_point	transaction delays
49	pain_point	limited functionality
50	pain_point	user experience issues
51	else	None
52	pain_point	limited functionality
53	pain_point	cashback problems
54	pain_point	user experience issues
55	pain_point	cashback problems
56	pain_point	cost of services
57	pain_point	transaction delays, limited functionality, cashback problems
58	else	None
59	pain_point	cashback problems
60	pain_point	transaction delays
61	pain_point	limited functionality
62	pain_point	customer support issues
63	pain_point	limited functionality
64	pain_point	cashback problems
65	pain_point	user experience issues
66	else	None
67	pain_point	user experience issues
68	pain_point	transaction delays
69	pain_point	limited functionality
70	else	None
71	pain_point	transaction delays
72	pain_point	user experience issues
73	pain_point	transaction delays
74	pain_point	functionality limitations
75	pain_point	transaction delays
76	pain_point	regulatory compliance
77	pain_point	user experience issues
78	else	None
79	else	None
80	else	None
81	else	None
82	pain_point	transaction delays
83	pain_point	cashback problems
84	pain_point	user experience issues
85	pain_point	user experience issues
86	pain_point	transaction delays
87	pain_point	cost of services
88	else	None
89	pain_point	transaction delays
90	pain_point	cashback problems
91	pain_point	cost of services
92	pain_point	user experience issues, transaction delays, cashback problems, customer support issues
93	else	None
94	pain_point	transaction delays
95	pain_point	limited functionality
96	else	None
97	else	None
98	else	None
99	else	None
0	else	None
1	else	None
2	else	None
3	pain_point	user experience issues
4	pain_point	user experience issues
5	pain_point	cashback problems
6	pain_point	cashback problems
7	pain_point	transaction delays
8	else	None
9	pain_point	user experience issues
10	pain_point	transaction delays
11	pain_point	customer support issues
12	pain_point	transaction delays
13	pain_point	transaction delays
14	else	None
15	pain_point	transaction delays, technical glitches
16	pain_point	user experience issues
17	pain_point	transaction delays
18	pain_point	transaction delays
19	pain_point	transaction delays
20	pain_point	customer support issues
21	pain_point	cashback problems
22	pain_point	cashback problems
23	pain_point	customer support issues
24	pain_point	transaction delays, limited functionality
25	else	None
26	pain_point	limited functionality
27	pain_point	transaction delays
28	pain_point	cost of services
29	pain_point	user experience issues
30	pain_point	user experience issues
31	else	None
32	pain_point	cost of services
33	pain_point	customer support issues
34	pain_point	transaction delays, limited functionality
35	pain_point	user experience issues
36	pain_point	transaction delays
37	pain_point	transaction delays
38	pain_point	user experience issues
39	else	None
40	pain_point	transaction delays
41	else	None
42	pain_point	security concerns
43	pain_point	customer support issues
44	pain_point	user experience issues
45	pain_point	limited functionality
46	else	None
47	pain_point	user experience issues
48	else	None
49	else	None
50	pain_point	transaction delays
51	pain_point	user experience issues, transaction delays, limited functionality, customer support issues
52	pain_point	transaction delays, limited functionality
53	pain_point	customer support issues, limited functionality, cashback problems
54	pain_point	cashback problems
55	pain_point	cost of services
56	pain_point	user experience issues
57	pain_point	cost of services
58	pain_point	transaction delays
59	pain_point	transaction delays
60	pain_point	user experience issues, limited functionality, customer support issues
61	else	None
62	pain_point	transaction delays
63	else	None
64	pain_point	customer support issues
65	pain_point	transaction delays
66	pain_point	transaction delays
67	pain_point	user experience issues
68	else	None
69	pain_point	cashback problems
70	else	None
71	pain_point	cashback problems
72	pain_point	transaction delays
73	pain_point	technical glitches
74	pain_point	customer support issues
75	pain_point	customer support issues
76	pain_point	transaction delays
77	pain_point	transaction delays
78	else	None
79	pain_point	user experience issues
80	pain_point	cashback problems
81	pain_point	transaction delays
82	pain_point	limited functionality
83	pain_point	customer support issues
84	else	None
85	else	None
86	else	None
87	pain_point	limited functionality
88	else	None
89	pain_point	technical glitches
90	else	None
91	pain_point	transaction delays
92	pain_point	user experience issues
93	pain_point	transaction delays
94	pain_point	limited functionality
95	pain_point	cost of services
96	else	None
97	else	None
98	pain_point	transaction delays
99	pain_point	technical glitches, customer support issues
0	pain_point	customer support issues
1	pain_point	customer support issues
2	pain_point	transaction delays
3	else	None
4	else	None
5	else	None
6	else	None
7	else	None
8	pain_point	user experience issues
9	pain_point	user experience issues
10	pain_point	customer support issues
11	pain_point	customer support issues
12	pain_point	technical glitches, customer support issues
13	pain_point	cashback problems
14	pain_point	transaction delays
15	else	None
16	pain_point	transaction delays
17	else	None
18	else	None
19	else	None
20	pain_point	user experience issues
21	pain_point	transaction delays
22	pain_point	customer support issues
23	pain_point	technical glitches
24	pain_point	security concerns
25	pain_point	transaction delays, technical glitches
26	pain_point	technical glitches
27	pain_point	customer support issues
28	pain_point	cost of services
29	else	None
30	else	None
31	pain_point	user experience issues
32	pain_point	customer support issues
33	pain_point	user experience issues
34	else	None
35	else	None
36	pain_point	user experience issues
37	else	None
38	else	None
39	pain_point	limited functionality
40	pain_point	transaction delays
41	pain_point	user experience issues
42	else	None
43	pain_point	limited functionality
44	pain_point	functionality_limitations
45	pain_point	transaction delays
46	else	None
47	pain_point	transaction delays
48	pain_point	technical glitches
49	pain_point	cashback problems
50	pain_point	customer support issues
51	pain_point	customer support issues, transaction delays
52	pain_point	customer support issues
53	pain_point	transaction delays
54	else	None
55	pain_point	transaction delays
56	pain_point	campaign activation issues
57	else	None
58	else	None
59	pain_point	customer support issues, transaction delays
60	pain_point	technical glitches
61	pain_point	transaction delays
62	pain_point	user experience issues
63	pain_point	customer support issues, transaction delays
64	pain_point	regulatory compliance
65	else	None
66	pain_point	transaction delays
67	pain_point	user experience issues
68	pain_point	user experience issues
69	pain_point	transaction delays
70	else	None
71	pain_point	transaction delays
72	pain_point	customer support issues
73	pain_point	transaction delays
74	pain_point	transaction delays
75	pain_point	cashback problems
76	pain_point	user experience issues
77	pain_point	user experience issues
78	pain_point	transaction delays
79	pain_point	security concerns
80	else	None
81	else	None
82	pain_point	cost of services
83	pain_point	cashback problems
84	pain_point	customer support issues
85	pain_point	user experience issues
86	pain_point	transaction delays
87	pain_point	cost of services
88	pain_point	user experience issues
89	pain_point	user experience issues
90	pain_point	cashback problems
91	pain_point	transaction delays
92	else	None
93	pain_point	transaction delays
94	pain_point	limited functionality
95	pain_point	transaction delays
96	else	None
97	pain_point	technical glitches
98	pain_point	cashback problems
99	pain_point	customer support issues
0	pain_point	user experience issues
1	pain_point	cost of services
2	else	None
3	pain_point	limited functionality
4	pain_point	transaction delays
5	else	None
6	pain_point	cashback problems
7	pain_point	cost of services
8	else	None
9	pain_point	transaction delays
10	pain_point	user experience issues
11	pain_point	user experience issues
12	pain_point	user experience issues
13	pain_point	user experience issues
14	pain_point	cost of services
15	else	None
16	pain_point	user experience issues
17	pain_point	security concerns
18	pain_point	cashback problems
19	pain_point	cashback problems
20	else	None
21	pain_point	transaction delays
22	pain_point	user experience issues, security concerns
23	pain_point	cashback problems
24	pain_point	transaction delays
25	pain_point	transaction delays
26	pain_point	cashback problems
27	else	None
28	else	None
29	pain_point	transaction delays
30	pain_point	transaction delays
31	pain_point	transaction delays
32	pain_point	transaction delays
33	else	None
34	else	None
35	pain_point	transaction delays
36	pain_point	transaction delays
37	pain_point	technical glitches
38	pain_point	transaction delays, cost of services
39	pain_point	transaction delays
40	pain_point	limited functionality
41	else	None
42	else	None
43	pain_point	cost of services
44	else	None
45	else	None
46	pain_point	transaction delays
47	pain_point	cashback problems
48	pain_point	transaction delays
49	pain_point	cost of services
50	pain_point	transaction delays
51	pain_point	transaction delays
52	pain_point	transaction delays, cashback problems
53	pain_point	transaction delays
54	pain_point	transaction delays
55	else	None
56	pain_point	transaction delays
57	else	None
58	pain_point	cost of services
59	else	None
60	pain_point	user experience issues
61	pain_point	cost of services
62	pain_point	transaction delays, technical glitches
63	else	None
64	pain_point	transaction delays
65	pain_point	customer support issues
66	pain_point	limited functionality
67	else	None
68	pain_point	transaction delays
69	pain_point	cashback problems
70	pain_point	user experience issues
71	pain_point	transaction delays
72	else	None
73	pain_point	cost of services
74	pain_point	cost of services
75	pain_point	user experience issues
76	else	None
77	pain_point	transaction delays
78	pain_point	transaction delays
79	pain_point	cashback problems
80	pain_point	transaction delays
81	pain_point	user experience issues
82	pain_point	cost of services
83	else	None
84	pain_point	limited functionality
85	pain_point	limited functionality
86	pain_point	limited functionality
87	pain_point	cashback problems
88	pain_point	transaction delays
89	pain_point	limited functionality
90	pain_point	cost of services
91	pain_point	cost of services
92	pain_point	security concerns
93	pain_point	transaction delays
94	pain_point	security concerns
95	pain_point	transaction delays
96	pain_point	cashback problems
97	pain_point	cost of services
98	pain_point	cashback problems
99	else	None
0	pain_point	user experience issues
1	pain_point	cashback problems
2	pain_point	cost of services
3	else	None
4	pain_point	cashback problems
5	pain_point	limited functionality
6	pain_point	transaction delays and limited functionality
7	pain_point	transaction delays
8	pain_point	limited functionality
9	pain_point	cost of services
10	pain_point	limited functionality
11	pain_point	transaction delays
12	pain_point	user experience issues
13	pain_point	user experience issues
14	pain_point	transaction delays
15	pain_point	cost of services
16	pain_point	transaction delays
17	else	None
18	pain_point	technical glitches
19	pain_point	customer support issues
20	pain_point	transaction delays
21	pain_point	security concerns
22	else	None
23	pain_point	security concerns
24	else	None
25	pain_point	cost of services
26	pain_point	transaction delays
27	pain_point	transaction delays
28	pain_point	user experience issues
29	else	None
30	pain_point	user experience issues
31	pain_point	user experience issues
32	else	None
33	pain_point	security concerns
34	pain_point	customer support issues
35	pain_point	transaction delays
36	pain_point	user experience issues
37	pain_point	customer support issues
38	pain_point	transaction delays, technical glitches, user experience issues
39	pain_point	transaction delays, cost of services, customer support issues
40	pain_point	limited functionality
41	pain_point	limited functionality
42	pain_point	technical glitches
43	pain_point	user experience issues
44	pain_point	transaction delays
45	pain_point	cashback problems
46	pain_point	cashback problems
47	pain_point	user experience issues
48	pain_point	transaction delays
49	pain_point	user experience issues
50	else	None
51	pain_point	cost of services
52	pain_point	security concerns
53	pain_point	user experience issues
54	pain_point	security concerns
55	pain_point	security concerns
56	pain_point	cost of services
57	else	None
58	pain_point	limited functionality
59	else	None
60	pain_point	customer support issues
61	else	None
62	else	None
63	else	None
64	pain_point	customer support issues
65	else	None
66	else	None
67	pain_point	cost of services
68	pain_point	user experience issues
69	pain_point	user experience issues
70	pain_point	transaction delays
71	pain_point	['security concerns', 'user experience issues', 'customer support issues', 'data privacy concerns']
72	pain_point	user experience issues
73	else	None
74	pain_point	transaction delays
75	pain_point	transaction delays
76	pain_point	customer support issues, security concerns, user experience issues
77	pain_point	customer support issues
78	pain_point	transaction delays
79	pain_point	cashback problems
80	pain_point	limited functionality
81	else	None
82	pain_point	cashback problems
83	else	None
84	pain_point	regulatory compliance
85	pain_point	customer support issues
86	pain_point	user experience issues
87	pain_point	customer support issues
88	pain_point	security concerns
89	pain_point	cashback problems
90	pain_point	user experience issues
91	pain_point	transaction delays
92	pain_point	security concerns
93	pain_point	transaction delays, cost of services
94	pain_point	transaction delays, user experience issues
95	pain_point	transaction delays
96	else	None
97	else	None
98	else	None
99	pain_point	transaction delays
2	pain_point	user experience issues
3	else	None
4	pain_point	security concerns
5	pain_point	transaction delays, customer support issues
6	pain_point	security concerns, transaction delays, customer support issues
7	else	None
8	pain_point	user experience issues
9	pain_point	transaction delays
10	pain_point	customer support issues
11	pain_point	security concerns
12	pain_point	security concerns
13	pain_point	security concerns
14	pain_point	customer support issues
15	pain_point	customer support issues
16	pain_point	security concerns
17	pain_point	customer support issues
18	pain_point	security concerns
19	pain_point	customer support issues
20	pain_point	customer support issues
21	pain_point	transaction delays, customer support issues, regulatory compliance
22	pain_point	security concerns
23	else	None
24	else	None
25	pain_point	user experience issues
26	pain_point	transaction delays
27	pain_point	user experience issues
28	pain_point	user experience issues
29	else	None
30	pain_point	limited functionality
31	pain_point	transaction delays
32	else	None
33	else	None
34	else	None
35	pain_point	user experience issues
36	pain_point	transaction delays
37	else	None
38	pain_point	customer support issues
39	else	None
40	else	None
41	pain_point	limited functionality
42	else	None
43	pain_point	cashback problems
44	pain_point	cashback problems
45	pain_point	transaction delays
46	else	None
47	pain_point	cashback problems
48	pain_point	user experience issues
49	else	None
50	pain_point	user experience issues
51	else	None
52	pain_point	transaction delays, customer support issues
53	pain_point	customer support issues
54	else	None
55	pain_point	user experience issues
56	pain_point	user experience issues
57	pain_point	customer support issues
58	pain_point	limited functionality
59	pain_point	user experience issues
60	else	None
61	pain_point	user experience issues
62	pain_point	limited functionality
63	pain_point	limited functionality
64	pain_point	transaction delays
65	pain_point	transaction delays
66	pain_point	user experience issues
67	else	None
68	pain_point	cashback problems
69	pain_point	customer support issues
70	pain_point	security concerns
71	pain_point	customer support issues
72	pain_point	customer support issues
73	pain_point	transaction delays, customer support issues
74	else	None
75	pain_point	technical glitches
76	pain_point	limited functionality
77	else	None
78	pain_point	user experience issues
79	else	None
80	else	None
81	pain_point	limited functionality
82	pain_point	limited functionality
83	else	None
84	pain_point	technical glitches
85	pain_point	limited functionality
86	pain_point	limited functionality
87	pain_point	limited functionality
88	else	None
89	else	None
90	else	None
91	pain_point	user experience issues
92	pain_point	user experience issues
93	pain_point	user experience issues
94	pain_point	transaction delays
95	pain_point	user experience issues
96	pain_point	transaction delays
97	pain_point	transaction delays
98	pain_point	limited functionality
99	pain_point	transaction delays
100	else	None
101	pain_point	technical glitches
0	else	None
1	pain_point	transaction delays
2	pain_point	customer support issues
3	pain_point	data privacy concerns
4	pain_point	transaction delays
5	pain_point	customer support issues
6	pain_point	customer support issues
7	pain_point	limited functionality
8	pain_point	user experience issues
9	pain_point	security concerns
10	pain_point	customer support issues
11	pain_point	security concerns
12	pain_point	customer support issues
13	pain_point	transaction delays
14	pain_point	customer support issues
15	pain_point	transaction delays
16	pain_point	cost of services
17	pain_point	transaction delays, customer support issues
18	pain_point	security concerns
19	pain_point	customer support issues
20	pain_point	user experience issues
21	pain_point	user experience issues
22	pain_point	user experience issues
23	pain_point	transaction delays
24	pain_point	cost of services
25	pain_point	user experience issues
26	pain_point	customer support issues
27	pain_point	customer support issues
28	else	None
29	pain_point	security concerns
30	pain_point	security concerns
31	else	None
32	pain_point	data privacy concerns
33	pain_point	cost of services
34	pain_point	user experience issues
35	pain_point	security concerns
36	else	None
37	pain_point	user experience issues
38	else	None
39	pain_point	transaction delays
40	pain_point	transaction delays
41	pain_point	cost of services
42	pain_point	transaction delays, cost of services, limited functionality
43	pain_point	transaction delays
44	pain_point	transaction delays
45	pain_point	transaction delays, user experience issues
46	pain_point	transaction delays, cost of services
47	pain_point	transaction delays, cost of services
48	pain_point	cost of services
49	pain_point	transaction delays
50	pain_point	transaction delays
51	else	None
52	pain_point	transaction delays
53	else	None
54	else	None
55	pain_point	customer support issues
56	pain_point	transaction delays
57	pain_point	customer support issues
58	pain_point	security concerns
59	pain_point	transaction delays
60	else	None
61	pain_point	security concerns
62	pain_point	customer support issues
63	pain_point	transaction delays
64	pain_point	user experience issues
65	else	None
66	pain_point	security concerns
67	pain_point	security concerns
68	pain_point	user experience issues
69	pain_point	user experience issues
70	pain_point	security concerns
71	pain_point	security concerns
72	pain_point	customer support issues
73	pain_point	limited functionality
74	pain_point	security concerns
75	pain_point	transaction delays
76	pain_point	user experience issues
77	pain_point	user experience issues
78	pain_point	cashback problems
79	pain_point	user experience issues
80	else	None
81	pain_point	user experience issues
82	pain_point	security concerns
83	else	None
84	pain_point	security concerns
85	pain_point	customer support issues
86	pain_point	customer support issues
87	pain_point	customer support issues
88	else	None
89	pain_point	security concerns
90	pain_point	technical glitches
91	pain_point	regulatory compliance
92	pain_point	cost of services
93	pain_point	regulatory compliance
94	pain_point	transaction delays
95	pain_point	security concerns
96	pain_point	user experience issues
97	pain_point	transaction delays
98	pain_point	user experience issues
99	pain_point	transaction delays
0	pain_point	customer support issues
1	pain_point	transaction delays, user experience issues
2	pain_point	transaction delays
3	pain_point	security concerns
4	pain_point	cost of services
5	pain_point	transaction delays
6	pain_point	transaction delays
7	pain_point	user experience issues
8	pain_point	transaction delays
9	pain_point	customer support issues
10	pain_point	transaction delays
11	pain_point	cashback problems
12	else	None
13	else	None
14	pain_point	user experience issues
15	pain_point	user experience issues
16	else	None
17	pain_point	transaction delays or cost of services or cashback problems
18	pain_point	user experience issues
19	pain_point	transaction delays
20	pain_point	technical glitches
21	pain_point	transaction delays
22	pain_point	user experience issues
23	pain_point	user experience issues
24	pain_point	data privacy concerns
25	else	None
26	pain_point	transaction delays
27	pain_point	transaction delays
28	pain_point	transaction delays
29	pain_point	transaction delays
30	pain_point	user experience issues
31	pain_point	limited functionality
32	pain_point	security concerns
33	pain_point	user experience issues
34	pain_point	customer support issues
35	else	None
36	pain_point	limited functionality
37	else	None
38	pain_point	transaction delays
39	pain_point	transaction delays
40	else	None
41	else	None
42	else	None
43	else	None
44	pain_point	customer support issues
45	else	None
46	pain_point	transaction delays
47	pain_point	technical glitches, limited functionality, transaction delays
48	pain_point	user experience issues
49	pain_point	user experience issues
50	else	None
51	pain_point	customer support issues
52	pain_point	user experience issues
53	else	None
54	pain_point	transaction delays, limited functionality, cashback problems
55	pain_point	transaction delays and cost of services
56	pain_point	transaction delays
57	pain_point	transaction delays and cashback problems
58	pain_point	user experience issues
59	pain_point	limited functionality
60	pain_point	transaction delays and user experience issues
61	pain_point	user experience issues
62	pain_point	technical glitches
63	pain_point	transaction delays
64	pain_point	user experience issues
65	pain_point	transaction delays
66	pain_point	transaction delays
67	else	None
68	else	None
69	pain_point	cashback problems
70	pain_point	cost of services
71	pain_point	cost of services
72	pain_point	user experience issues
73	pain_point	limited functionality
74	pain_point	cost of services
75	pain_point	transaction delays
76	pain_point	user experience issues
77	pain_point	security concerns
78	else	None
79	pain_point	trust and regulatory compliance issues
80	else	None
81	pain_point	technical glitches
82	pain_point	transaction delays
83	pain_point	cost of services
84	pain_point	cost of services
85	pain_point	technical glitches
86	pain_point	customer support issues
87	pain_point	transaction delays
88	else	None
89	else	None
90	else	None
91	else	None
92	else	None
93	pain_point	user experience issues
94	else	None
95	pain_point	technical glitches
96	else	None
97	pain_point	user experience issues
98	pain_point	['security concerns', 'limited functionality', 'user experience issues']
99	pain_point	user experience issues
0	pain_point	transaction delays
1	else	None
2	pain_point	user experience issues
3	else	None
4	pain_point	user experience issues
5	pain_point	user experience issues
6	else	None
7	pain_point	user experience issues
8	pain_point	security concerns
9	pain_point	user experience issues
10	else	None
11	pain_point	customer support issues
12	else	None
13	else	None
14	pain_point	transaction delays
15	else	None
16	pain_point	cashback problems
17	pain_point	transaction delays, regulatory compliance
18	pain_point	user experience issues
19	else	None
20	pain_point	customer support issues
21	pain_point	cost of services
22	pain_point	customer support issues
23	pain_point	technical glitches
24	else	None
25	else	None
26	else	None
27	pain_point	user experience issues
28	else	None
29	pain_point	transaction delays
30	pain_point	user experience issues
31	pain_point	technical glitches
32	else	None
33	pain_point	transaction delays
34	pain_point	transaction delays
35	else	None
36	pain_point	transaction delays
37	pain_point	user experience issues
38	else	None
39	pain_point	transaction delays
40	pain_point	user experience issues
41	else	None
42	else	None
43	else	None
44	pain_point	user experience issues
45	pain_point	customer support issues
46	else	None
47	pain_point	cashback problems
48	else	None
49	pain_point	user experience issues
50	pain_point	user experience issues
51	pain_point	transaction delays
52	pain_point	limited functionality
53	pain_point	limited functionality
54	pain_point	limited functionality
55	pain_point	transaction delays
56	pain_point	user experience issues
57	pain_point	user experience issues
58	else	None
59	else	None
60	pain_point	cashback problems
61	pain_point	cashback problems
62	else	None
63	pain_point	user experience issues
64	pain_point	user experience issues
65	pain_point	cost of services
66	pain_point	transaction delays
67	pain_point	transaction delays
68	pain_point	transaction delays
69	pain_point	user experience issues
70	else	None
71	pain_point	user experience issues
72	pain_point	limited functionality
73	pain_point	technical glitches
74	pain_point	user experience issues
75	else	None
76	pain_point	cost of services
77	pain_point	user experience issues
78	pain_point	user experience issues
79	pain_point	user experience issues
80	pain_point	technical glitches
81	pain_point	security concerns
82	pain_point	security concerns
83	pain_point	limited functionality
84	pain_point	user experience issues
85	pain_point	limited functionality
86	else	None
87	else	None
88	pain_point	limited functionality
89	else	None
90	pain_point	transaction delays, user experience issues
91	pain_point	limited functionality
92	pain_point	cashback problems
93	pain_point	limited functionality
94	pain_point	user experience issues
95	pain_point	user experience issues
96	pain_point	user experience issues
97	else	None
98	pain_point	limited functionality
99	pain_point	transaction delays
0	pain_point	user experience issues
1	pain_point	limited functionality
2	else	None
3	pain_point	transaction delays
4	pain_point	technical glitches
5	pain_point	technical glitches
6	pain_point	cashback problems
7	pain_point	limited functionality
8	pain_point	customer support issues
9	else	None
10	pain_point	transaction delays
11	pain_point	cashback problems
12	pain_point	transaction delays, cost of services
13	pain_point	limited functionality
14	pain_point	technical glitches
15	pain_point	technical glitches
16	pain_point	transaction delays, limited functionality, cashback problems
17	else	None
18	else	None
19	pain_point	transaction delays
20	pain_point	cashback problems
21	pain_point	transaction delays and customer support issues
22	pain_point	customer support issues
23	pain_point	customer support issues
24	pain_point	user experience issues
25	pain_point	transaction delays
26	pain_point	transaction delays
27	else	None
28	pain_point	cashback problems
29	else	None
30	else	None
31	pain_point	transaction delays
32	pain_point	transaction delays
33	pain_point	technical glitches
34	pain_point	transaction delays
35	pain_point	transaction delays
36	pain_point	limited functionality
37	pain_point	user experience issues
38	pain_point	transaction delays
39	pain_point	limited functionality
40	pain_point	limited functionality
41	else	None
42	pain_point	transaction delays
43	pain_point	transaction delays
44	pain_point	cost of services
45	pain_point	transaction delays and cost of services
46	pain_point	transaction delays or cost of services
47	else	None
48	pain_point	cost of services
49	pain_point	transaction delays
50	pain_point	cashback problems
51	pain_point	cashback problems
52	pain_point	cost of services
53	pain_point	cost of services
54	pain_point	cashback problems
55	pain_point	transaction delays
56	pain_point	cashback problems
57	else	None
58	pain_point	customer support issues
59	pain_point	customer support issues
60	else	None
61	pain_point	limited functionality
62	pain_point	user experience issues
63	pain_point	user experience issues
64	pain_point	transaction delays
65	pain_point	cost of services
66	else	None
67	else	None
68	else	None
69	pain_point	transaction delays
70	pain_point	limited functionality
71	pain_point	transaction delays, limited functionality
72	else	None
73	pain_point	cost of services
74	else	None
75	else	None
76	pain_point	user experience issues
77	pain_point	limited functionality
78	else	None
79	else	None
80	pain_point	cashback problems, limited functionality
81	pain_point	user experience issues
82	pain_point	technical glitches
83	pain_point	technical glitches
84	else	None
85	pain_point	user experience issues
86	pain_point	cashback problems
87	pain_point	cost of services
